seed,strategy,model,accuracy,f1_score
1415,base,GradientBoostingClassifier,0.875,0.8818181818181818
1415,base,DecisionTreeClassifier,0.75,0.7666666666666667
1415,base,RandomForestClassifier,0.75,0.7666666666666667
1415,balanced_in,GradientBoostingClassifier,0.625,0.6428571428571429
1415,balanced_in,DecisionTreeClassifier,0.875,0.8589743589743589
1415,balanced_in,RandomForestClassifier,0.875,0.8818181818181818
1415,balanced_on,GradientBoostingClassifier,0.375,0.40476190476190477
1415,balanced_on,DecisionTreeClassifier,0.75,0.7666666666666667
1415,balanced_on,RandomForestClassifier,0.875,0.8818181818181818
1415,balanced_drop,GradientBoostingClassifier,0.75,0.7666666666666667
1415,balanced_drop,DecisionTreeClassifier,0.875,0.8589743589743589
1415,balanced_drop,RandomForestClassifier,0.5,0.5
1415,balanced_stretch,GradientBoostingClassifier,0.5,0.5
1415,balanced_stretch,DecisionTreeClassifier,0.5,0.5
1415,balanced_stretch,RandomForestClassifier,0.625,0.6428571428571429
9265,base,GradientBoostingClassifier,0.5,0.5666666666666667
9265,base,DecisionTreeClassifier,0.625,0.6863636363636364
9265,base,RandomForestClassifier,0.625,0.6863636363636364
9265,balanced_in,GradientBoostingClassifier,0.625,0.6863636363636364
9265,balanced_in,DecisionTreeClassifier,0.625,0.6863636363636364
9265,balanced_in,RandomForestClassifier,0.625,0.6863636363636364
9265,balanced_on,GradientBoostingClassifier,0.375,0.47727272727272724
9265,balanced_on,DecisionTreeClassifier,0.375,0.47727272727272724
9265,balanced_on,RandomForestClassifier,0.75,0.7916666666666666
9265,balanced_drop,GradientBoostingClassifier,0.5,0.5666666666666667
9265,balanced_drop,DecisionTreeClassifier,0.5,0.5666666666666667
9265,balanced_drop,RandomForestClassifier,0.625,0.6863636363636364
9265,balanced_stretch,GradientBoostingClassifier,0.75,0.7916666666666666
9265,balanced_stretch,DecisionTreeClassifier,0.75,0.7916666666666666
9265,balanced_stretch,RandomForestClassifier,0.75,0.7916666666666666
3589,base,GradientBoostingClassifier,0.375,0.38492063492063494
3589,base,DecisionTreeClassifier,0.625,0.6071428571428572
3589,base,RandomForestClassifier,0.5,0.5
3589,balanced_in,GradientBoostingClassifier,0.625,0.6309523809523809
3589,balanced_in,DecisionTreeClassifier,0.875,0.876984126984127
3589,balanced_in,RandomForestClassifier,0.5,0.5
3589,balanced_on,GradientBoostingClassifier,0.5,0.5
3589,balanced_on,DecisionTreeClassifier,0.5,0.5
3589,balanced_on,RandomForestClassifier,0.5,0.5
3589,balanced_drop,GradientBoostingClassifier,0.375,0.38492063492063494
3589,balanced_drop,DecisionTreeClassifier,0.375,0.38492063492063494
3589,balanced_drop,RandomForestClassifier,0.625,0.6045454545454545
3589,balanced_stretch,GradientBoostingClassifier,0.5,0.5
3589,balanced_stretch,DecisionTreeClassifier,0.5,0.5
3589,balanced_stretch,RandomForestClassifier,0.5,0.5
7932,base,GradientBoostingClassifier,0.75,0.7666666666666667
7932,base,DecisionTreeClassifier,0.875,0.8818181818181818
7932,base,RandomForestClassifier,0.875,0.8818181818181818
7932,balanced_in,GradientBoostingClassifier,0.625,0.6454545454545454
7932,balanced_in,DecisionTreeClassifier,0.625,0.6454545454545454
7932,balanced_in,RandomForestClassifier,0.625,0.6454545454545454
7932,balanced_on,GradientBoostingClassifier,0.625,0.6454545454545454
7932,balanced_on,DecisionTreeClassifier,0.75,0.75
7932,balanced_on,RandomForestClassifier,0.75,0.7666666666666667
7932,balanced_drop,GradientBoostingClassifier,0.5,0.5333333333333333
7932,balanced_drop,DecisionTreeClassifier,0.5,0.5333333333333333
7932,balanced_drop,RandomForestClassifier,0.625,0.6454545454545454
7932,balanced_stretch,GradientBoostingClassifier,1.0,1.0
7932,balanced_stretch,DecisionTreeClassifier,0.625,0.6454545454545454
7932,balanced_stretch,RandomForestClassifier,0.75,0.7666666666666667
3846,base,GradientBoostingClassifier,0.625,0.6045454545454545
3846,base,DecisionTreeClassifier,0.625,0.6045454545454545
3846,base,RandomForestClassifier,0.625,0.6045454545454545
3846,balanced_in,GradientBoostingClassifier,0.625,0.6045454545454545
3846,balanced_in,DecisionTreeClassifier,0.625,0.6045454545454545
3846,balanced_in,RandomForestClassifier,0.625,0.6045454545454545
3846,balanced_on,GradientBoostingClassifier,0.625,0.6045454545454545
3846,balanced_on,DecisionTreeClassifier,0.625,0.6045454545454545
3846,balanced_on,RandomForestClassifier,0.625,0.6045454545454545
3846,balanced_drop,GradientBoostingClassifier,0.625,0.6045454545454545
3846,balanced_drop,DecisionTreeClassifier,0.625,0.6045454545454545
3846,balanced_drop,RandomForestClassifier,0.625,0.6045454545454545
3846,balanced_stretch,GradientBoostingClassifier,0.5,0.5
3846,balanced_stretch,DecisionTreeClassifier,0.5,0.5
3846,balanced_stretch,RandomForestClassifier,0.5,0.5
2643,base,GradientBoostingClassifier,0.625,0.5636363636363637
2643,base,DecisionTreeClassifier,0.625,0.5636363636363637
2643,base,RandomForestClassifier,0.625,0.5636363636363637
2643,balanced_in,GradientBoostingClassifier,0.625,0.5636363636363637
2643,balanced_in,DecisionTreeClassifier,0.75,0.7333333333333334
2643,balanced_in,RandomForestClassifier,0.625,0.5636363636363637
2643,balanced_on,GradientBoostingClassifier,1.0,1.0
