seed,strategy,model,accuracy,f1_score
1415,base,GradientBoostingClassifier,0.9411764705882353,0.94213898743228
1415,base,DecisionTreeClassifier,0.9215686274509803,0.9203891803400677
1415,base,SVC,0.7450980392156863,0.7311415794387932
1415,balanced_in,GradientBoostingClassifier,0.9607843137254902,0.9607843137254902
1415,balanced_in,DecisionTreeClassifier,0.8823529411764706,0.8812215082111277
1415,balanced_in,SVC,0.7647058823529411,0.7586945592060681
1415,balanced_on,GradientBoostingClassifier,0.9215686274509803,0.9207683073229292
1415,balanced_on,DecisionTreeClassifier,0.8627450980392157,0.8605576104681223
1415,balanced_on,SVC,0.47058823529411764,0.30117647058823527
1415,balanced_drop,GradientBoostingClassifier,0.9607843137254902,0.9607855185084787
1415,balanced_drop,DecisionTreeClassifier,0.8235294117647058,0.8212942465988953
1415,balanced_drop,SVC,0.7843137254901961,0.7826831882178158
1415,balanced_stretch,GradientBoostingClassifier,0.8823529411764706,0.8813071895424837
1415,balanced_stretch,DecisionTreeClassifier,0.9803921568627451,0.980125383486728
1415,balanced_stretch,SVC,0.7058823529411765,0.6884859206840631
9265,base,GradientBoostingClassifier,0.9215686274509803,0.9220235408741502
9265,base,DecisionTreeClassifier,0.9411764705882353,0.9405300581771169
9265,base,SVC,0.6666666666666666,0.6464850415584027
9265,balanced_in,GradientBoostingClassifier,0.9019607843137255,0.9058710840658102
9265,balanced_in,DecisionTreeClassifier,0.8431372549019608,0.8452380952380952
9265,balanced_in,SVC,0.7450980392156863,0.7402232210713743
9265,balanced_on,GradientBoostingClassifier,0.9411764705882353,0.9421171767057648
9265,balanced_on,DecisionTreeClassifier,0.8627450980392157,0.863862186553782
9265,balanced_on,SVC,0.5098039215686274,0.4058271195802265
9265,balanced_drop,GradientBoostingClassifier,0.9215686274509803,0.9234360410830998
9265,balanced_drop,DecisionTreeClassifier,0.9019607843137255,0.9047142261159784
9265,balanced_drop,SVC,0.803921568627451,0.8023408638817846
9265,balanced_stretch,GradientBoostingClassifier,0.9215686274509803,0.9215686274509803
9265,balanced_stretch,DecisionTreeClassifier,0.8627450980392157,0.8599078928904027
9265,balanced_stretch,SVC,0.6078431372549019,0.5945378151260504
3589,base,GradientBoostingClassifier,0.9411764705882353,0.9416912017645035
3589,base,DecisionTreeClassifier,0.8235294117647058,0.8320454281419312
3589,base,SVC,0.6862745098039216,0.6628248587570621
3589,balanced_in,GradientBoostingClassifier,0.8823529411764706,0.8843326804405972
3589,balanced_in,DecisionTreeClassifier,0.8823529411764706,0.8854791916766707
3589,balanced_in,SVC,0.6078431372549019,0.5926992584059326
3589,balanced_on,GradientBoostingClassifier,0.9215686274509803,0.9222253494699315
3589,balanced_on,DecisionTreeClassifier,0.8627450980392157,0.8667357852231802
3589,balanced_on,SVC,0.5098039215686274,0.3889873757722267
3589,balanced_drop,GradientBoostingClassifier,0.8823529411764706,0.8830586414132217
3589,balanced_drop,DecisionTreeClassifier,0.8431372549019608,0.8426129810212856
3589,balanced_drop,SVC,0.6274509803921569,0.6212577714012434
3589,balanced_stretch,GradientBoostingClassifier,0.8823529411764706,0.8823529411764706
3589,balanced_stretch,DecisionTreeClassifier,0.803921568627451,0.8105965790571549
3589,balanced_stretch,SVC,0.6274509803921569,0.6225867910178305
7932,base,GradientBoostingClassifier,0.8235294117647058,0.8202138790374085
7932,base,DecisionTreeClassifier,0.8823529411764706,0.8781275751914875
7932,base,SVC,0.6274509803921569,0.6097536450477626
7932,balanced_in,GradientBoostingClassifier,0.8823529411764706,0.8834995986698774
7932,balanced_in,DecisionTreeClassifier,0.8627450980392157,0.8589979721307509
7932,balanced_in,SVC,0.6470588235294118,0.6504987960096319
7932,balanced_on,GradientBoostingClassifier,0.9019607843137255,0.9020725099156472
7932,balanced_on,DecisionTreeClassifier,0.8235294117647058,0.8216619981325863
7932,balanced_on,SVC,0.3333333333333333,0.16666666666666666
7932,balanced_drop,GradientBoostingClassifier,0.8823529411764706,0.8834799711992695
7932,balanced_drop,DecisionTreeClassifier,0.7843137254901961,0.7866070404770096
7932,balanced_drop,SVC,0.6862745098039216,0.6915393183151363
7932,balanced_stretch,GradientBoostingClassifier,0.8823529411764706,0.8824111560953666
7932,balanced_stretch,DecisionTreeClassifier,0.7843137254901961,0.7829641978248788
7932,balanced_stretch,SVC,0.6078431372549019,0.5938997821350762
3846,base,GradientBoostingClassifier,0.9019607843137255,0.8918248226206704
3846,base,DecisionTreeClassifier,0.8823529411764706,0.8785332314744079
3846,base,SVC,0.7647058823529411,0.7611800939281186
3846,balanced_in,GradientBoostingClassifier,0.9019607843137255,0.8918248226206704
3846,balanced_in,DecisionTreeClassifier,0.7647058823529411,0.7732351982826366
3846,balanced_in,SVC,0.7058823529411765,0.7176663768955858
3846,balanced_on,GradientBoostingClassifier,0.9019607843137255,0.8918248226206704
3846,balanced_on,DecisionTreeClassifier,0.7647058823529411,0.7649167193759225
3846,balanced_on,SVC,0.6862745098039216,0.657481010422187
3846,balanced_drop,GradientBoostingClassifier,0.9019607843137255,0.8922688230646708
3846,balanced_drop,DecisionTreeClassifier,0.8823529411764706,0.8735548911141539
3846,balanced_drop,SVC,0.6666666666666666,0.6766483683256584
3846,balanced_stretch,GradientBoostingClassifier,0.8823529411764706,0.8738489988251413
3846,balanced_stretch,DecisionTreeClassifier,0.8431372549019608,0.8301069723369987
3846,balanced_stretch,SVC,0.7254901960784313,0.7279178338001868
2643,base,GradientBoostingClassifier,0.9803921568627451,0.9811652259470097
2643,base,DecisionTreeClassifier,0.9019607843137255,0.9122239017713883
2643,base,SVC,0.7254901960784313,0.7105809223456282
2643,balanced_in,GradientBoostingClassifier,1.0,1.0
2643,balanced_in,DecisionTreeClassifier,0.9215686274509803,0.9241830065359479
2643,balanced_in,SVC,0.7254901960784313,0.7276535565493254
2643,balanced_on,GradientBoostingClassifier,1.0,1.0
2643,balanced_on,DecisionTreeClassifier,0.8431372549019608,0.8456489118503077
2643,balanced_on,SVC,0.5882352941176471,0.4502541757443718
2643,balanced_drop,GradientBoostingClassifier,1.0,1.0
2643,balanced_drop,DecisionTreeClassifier,0.9215686274509803,0.9314372065012174
2643,balanced_drop,SVC,0.7450980392156863,0.7473719709013826
2643,balanced_stretch,GradientBoostingClassifier,0.9803921568627451,0.9805285253694125
2643,balanced_stretch,DecisionTreeClassifier,0.9607843137254902,0.9615573828097548
2643,balanced_stretch,SVC,0.7450980392156863,0.7434514366296492
3832,base,GradientBoostingClassifier,0.9411764705882353,0.9438771822165214
3832,base,DecisionTreeClassifier,0.8627450980392157,0.8598817304699657
3832,base,SVC,0.7647058823529411,0.7561497326203208
3832,balanced_in,GradientBoostingClassifier,0.9607843137254902,0.9623093681917211
3832,balanced_in,DecisionTreeClassifier,0.8823529411764706,0.8844328473916085
3832,balanced_in,SVC,0.6666666666666666,0.6716883436148392
3832,balanced_on,GradientBoostingClassifier,0.9411764705882353,0.9424803169349582
3832,balanced_on,DecisionTreeClassifier,0.8823529411764706,0.8810457516339869
3832,balanced_on,SVC,0.7058823529411765,0.6518518518518519
3832,balanced_drop,GradientBoostingClassifier,0.9803921568627451,0.9805426006719824
3832,balanced_drop,DecisionTreeClassifier,0.8235294117647058,0.8281045751633987
3832,balanced_drop,SVC,0.6666666666666666,0.6705653021442495
3832,balanced_stretch,GradientBoostingClassifier,0.9607843137254902,0.9611804317686671
3832,balanced_stretch,DecisionTreeClassifier,0.8823529411764706,0.8827047727303482
3832,balanced_stretch,SVC,0.7058823529411765,0.703527787926765
7950,base,GradientBoostingClassifier,0.8823529411764706,0.8833492798550779
7950,base,DecisionTreeClassifier,0.8431372549019608,0.8428296808919646
7950,base,SVC,0.7450980392156863,0.7300232635427052
7950,balanced_in,GradientBoostingClassifier,0.8823529411764706,0.8833492798550779
7950,balanced_in,DecisionTreeClassifier,0.803921568627451,0.8135254101640657
7950,balanced_in,SVC,0.6666666666666666,0.6655794490587983
7950,balanced_on,GradientBoostingClassifier,0.9215686274509803,0.922167848463664
7950,balanced_on,DecisionTreeClassifier,0.7647058823529411,0.7650519031141868
7950,balanced_on,SVC,0.5098039215686274,0.34428316781257956
7950,balanced_drop,GradientBoostingClassifier,0.8823529411764706,0.882439253213247
7950,balanced_drop,DecisionTreeClassifier,0.8431372549019608,0.843959711544192
7950,balanced_drop,SVC,0.6666666666666666,0.6660843904125118
7950,balanced_stretch,GradientBoostingClassifier,0.9019607843137255,0.9022753486421307
7950,balanced_stretch,DecisionTreeClassifier,0.7254901960784313,0.7532647462732482
7950,balanced_stretch,SVC,0.7254901960784313,0.7125396577729235
2884,base,GradientBoostingClassifier,0.9411764705882353,0.9407486631016041
2884,base,DecisionTreeClassifier,0.8627450980392157,0.8609377664109121
2884,base,SVC,0.7254901960784313,0.7163013125126784
2884,balanced_in,GradientBoostingClassifier,0.9215686274509803,0.919711362805992
2884,balanced_in,DecisionTreeClassifier,0.8431372549019608,0.8385026737967914
2884,balanced_in,SVC,0.6666666666666666,0.6769987544736469
2884,balanced_on,GradientBoostingClassifier,0.9411764705882353,0.9400759513291481
2884,balanced_on,DecisionTreeClassifier,0.8823529411764706,0.8829744728079912
2884,balanced_on,SVC,0.5490196078431373,0.4298039215686274
2884,balanced_drop,GradientBoostingClassifier,0.9411764705882353,0.9400759513291481
2884,balanced_drop,DecisionTreeClassifier,0.9019607843137255,0.9034953111679455
2884,balanced_drop,SVC,0.6470588235294118,0.6595206825385854
2884,balanced_stretch,GradientBoostingClassifier,0.9607843137254902,0.959572192513369
2884,balanced_stretch,DecisionTreeClassifier,0.8235294117647058,0.8179898532839709
2884,balanced_stretch,SVC,0.6274509803921569,0.6301884390119684
1971,base,GradientBoostingClassifier,0.9215686274509803,0.9174030902683654
1971,base,DecisionTreeClassifier,0.8627450980392157,0.8627689663814401
1971,base,SVC,0.6862745098039216,0.6789592760180996
1971,balanced_in,GradientBoostingClassifier,0.9215686274509803,0.9203732830030408
1971,balanced_in,DecisionTreeClassifier,0.8431372549019608,0.8457350272232305
1971,balanced_in,SVC,0.5882352941176471,0.5964363348922996
