seed,strategy,model,accuracy,f1_score
1415,base,GradientBoostingClassifier,0.875,0.8944444444444444
1415,base,DecisionTreeClassifier,0.875,0.8944444444444444
1415,base,SVC,0.9583333333333334,0.9379432624113475
1415,balanced_on,GradientBoostingClassifier,0.9166666666666666,0.9166666666666666
1415,balanced_on,DecisionTreeClassifier,0.9166666666666666,0.9166666666666666
1415,balanced_on,SVC,0.9166666666666666,0.9166666666666666
1415,balanced_in,GradientBoostingClassifier,0.9583333333333334,0.9379432624113475
1415,balanced_in,DecisionTreeClassifier,0.7916666666666666,0.8533681765389084
1415,balanced_in,SVC,0.9583333333333334,0.9379432624113475
1415,balanced_drop,GradientBoostingClassifier,0.9583333333333334,0.9379432624113475
1415,balanced_drop,DecisionTreeClassifier,0.7916666666666666,0.8468992248062017
1415,balanced_drop,SVC,0.5833333333333334,0.6990740740740741
1415,balanced_stretch,GradientBoostingClassifier,0.9166666666666666,0.9166666666666666
1415,balanced_stretch,DecisionTreeClassifier,0.8333333333333334,0.8712121212121211
1415,balanced_stretch,SVC,0.9583333333333334,0.9379432624113475
9265,base,GradientBoostingClassifier,0.92,0.92
9265,base,DecisionTreeClassifier,0.92,0.92
9265,base,SVC,0.96,0.9404081632653061
9265,balanced_on,GradientBoostingClassifier,0.96,0.9404081632653061
9265,balanced_on,DecisionTreeClassifier,0.84,0.8765217391304347
9265,balanced_on,SVC,0.96,0.9404081632653061
9265,balanced_in,GradientBoostingClassifier,1.0,1.0
9265,balanced_in,DecisionTreeClassifier,0.88,0.898723404255319
9265,balanced_in,SVC,0.96,0.9404081632653061
9265,balanced_drop,GradientBoostingClassifier,0.92,0.92
9265,balanced_drop,DecisionTreeClassifier,0.92,0.92
9265,balanced_drop,SVC,0.56,0.6807484407484408
9265,balanced_stretch,GradientBoostingClassifier,1.0,1.0
9265,balanced_stretch,DecisionTreeClassifier,0.92,0.92
9265,balanced_stretch,SVC,0.96,0.9404081632653061
3589,base,GradientBoostingClassifier,0.92,0.92
3589,base,DecisionTreeClassifier,0.84,0.8765217391304347
3589,base,SVC,0.96,0.9404081632653061
3589,balanced_on,GradientBoostingClassifier,0.96,0.9404081632653061
3589,balanced_on,DecisionTreeClassifier,0.88,0.898723404255319
3589,balanced_on,SVC,0.88,0.898723404255319
3589,balanced_in,GradientBoostingClassifier,0.92,0.92
3589,balanced_in,DecisionTreeClassifier,0.84,0.8765217391304347
3589,balanced_in,SVC,0.96,0.9404081632653061
3589,balanced_drop,GradientBoostingClassifier,0.92,0.92
3589,balanced_drop,DecisionTreeClassifier,0.84,0.8765217391304347
3589,balanced_drop,SVC,0.92,0.92
3589,balanced_stretch,GradientBoostingClassifier,0.92,0.92
3589,balanced_stretch,DecisionTreeClassifier,0.88,0.898723404255319
3589,balanced_stretch,SVC,0.96,0.9404081632653061
7932,base,GradientBoostingClassifier,0.76,0.7254545454545455
7932,base,DecisionTreeClassifier,0.8,0.8086720867208672
7932,base,SVC,0.84,0.7669565217391304
7932,balanced_on,GradientBoostingClassifier,0.8,0.7466666666666667
7932,balanced_on,DecisionTreeClassifier,0.72,0.7032558139534884
7932,balanced_on,SVC,0.88,0.8480000000000001
7932,balanced_in,GradientBoostingClassifier,0.8,0.7466666666666667
7932,balanced_in,DecisionTreeClassifier,0.84,0.7669565217391304
7932,balanced_in,SVC,0.84,0.7669565217391304
7932,balanced_drop,GradientBoostingClassifier,0.8,0.7466666666666667
7932,balanced_drop,DecisionTreeClassifier,0.84,0.7669565217391304
7932,balanced_drop,SVC,0.56,0.6148856548856547
7932,balanced_stretch,GradientBoostingClassifier,0.76,0.7254545454545455
7932,balanced_stretch,DecisionTreeClassifier,0.72,0.7032558139534884
7932,balanced_stretch,SVC,0.84,0.7669565217391304
3846,base,GradientBoostingClassifier,0.92,0.9084848484848485
3846,base,DecisionTreeClassifier,0.8,0.8086720867208672
3846,base,SVC,0.84,0.7669565217391304
3846,balanced_on,GradientBoostingClassifier,0.88,0.8480000000000001
3846,balanced_on,DecisionTreeClassifier,0.76,0.76
3846,balanced_on,SVC,0.84,0.7669565217391304
3846,balanced_in,GradientBoostingClassifier,0.88,0.8480000000000001
3846,balanced_in,DecisionTreeClassifier,0.88,0.8480000000000001
3846,balanced_in,SVC,0.84,0.7669565217391304
3846,balanced_drop,GradientBoostingClassifier,0.88,0.8480000000000001
3846,balanced_drop,DecisionTreeClassifier,0.88,0.8480000000000001
3846,balanced_drop,SVC,0.76,0.76
3846,balanced_stretch,GradientBoostingClassifier,0.88,0.8480000000000001
3846,balanced_stretch,DecisionTreeClassifier,0.76,0.76
3846,balanced_stretch,SVC,0.84,0.7669565217391304
2643,base,GradientBoostingClassifier,0.92,0.9017391304347826
2643,base,DecisionTreeClassifier,0.92,0.9017391304347826
2643,base,SVC,0.88,0.8238297872340425
2643,balanced_on,GradientBoostingClassifier,0.92,0.9017391304347826
2643,balanced_on,DecisionTreeClassifier,0.84,0.84
2643,balanced_on,SVC,0.76,0.76
2643,balanced_in,GradientBoostingClassifier,0.92,0.9017391304347826
2643,balanced_in,DecisionTreeClassifier,0.8,0.8119601328903654
2643,balanced_in,SVC,0.88,0.8238297872340425
2643,balanced_drop,GradientBoostingClassifier,0.88,0.8693333333333332
2643,balanced_drop,DecisionTreeClassifier,0.92,0.9017391304347826
2643,balanced_drop,SVC,0.52,0.6038095238095237
2643,balanced_stretch,GradientBoostingClassifier,0.84,0.84
2643,balanced_stretch,DecisionTreeClassifier,0.88,0.8693333333333332
2643,balanced_stretch,SVC,0.88,0.8238297872340425
3832,base,GradientBoostingClassifier,0.875,0.8675958188153309
3832,base,DecisionTreeClassifier,0.8333333333333334,0.8095238095238094
3832,base,SVC,0.8333333333333334,0.7575757575757575
3832,balanced_on,GradientBoostingClassifier,0.875,0.8418604651162792
3832,balanced_on,DecisionTreeClassifier,0.7916666666666666,0.7793263646922183
3832,balanced_on,SVC,0.8333333333333334,0.7575757575757575
3832,balanced_in,GradientBoostingClassifier,0.9166666666666666,0.9047619047619048
3832,balanced_in,DecisionTreeClassifier,0.8333333333333334,0.8095238095238094
3832,balanced_in,SVC,0.8333333333333334,0.7575757575757575
3832,balanced_drop,GradientBoostingClassifier,0.8333333333333334,0.8095238095238094
3832,balanced_drop,DecisionTreeClassifier,0.8333333333333334,0.8095238095238094
3832,balanced_drop,SVC,0.5416666666666666,0.5970695970695971
3832,balanced_stretch,GradientBoostingClassifier,0.875,0.8675958188153309
3832,balanced_stretch,DecisionTreeClassifier,0.75,0.75
3832,balanced_stretch,SVC,0.8333333333333334,0.7575757575757575
7950,base,GradientBoostingClassifier,0.8,0.7880398671096346
7950,base,DecisionTreeClassifier,0.76,0.7254545454545455
7950,base,SVC,0.84,0.7669565217391304
7950,balanced_on,GradientBoostingClassifier,0.84,0.7669565217391304
7950,balanced_on,DecisionTreeClassifier,0.68,0.68
7950,balanced_on,SVC,0.84,0.8169696969696968
7950,balanced_in,GradientBoostingClassifier,0.84,0.8169696969696968
7950,balanced_in,DecisionTreeClassifier,0.76,0.7780000000000001
7950,balanced_in,SVC,0.84,0.7669565217391304
7950,balanced_drop,GradientBoostingClassifier,0.84,0.7669565217391304
7950,balanced_drop,DecisionTreeClassifier,0.72,0.7032558139534884
7950,balanced_drop,SVC,0.52,0.5828571428571429
7950,balanced_stretch,GradientBoostingClassifier,0.76,0.7254545454545455
7950,balanced_stretch,DecisionTreeClassifier,0.72,0.7321409214092143
7950,balanced_stretch,SVC,0.84,0.7669565217391304
2884,base,GradientBoostingClassifier,0.96,0.9635555555555555
2884,base,DecisionTreeClassifier,0.92,0.9315151515151514
2884,base,SVC,0.92,0.8816666666666667
2884,balanced_on,GradientBoostingClassifier,0.96,0.9635555555555555
2884,balanced_on,DecisionTreeClassifier,0.84,0.8723809523809523
2884,balanced_on,SVC,0.96,0.953758865248227
2884,balanced_in,GradientBoostingClassifier,1.0,1.0
2884,balanced_in,DecisionTreeClassifier,0.88,0.9015282392026578
2884,balanced_in,SVC,0.92,0.8816666666666667
2884,balanced_drop,GradientBoostingClassifier,0.88,0.9015282392026578
2884,balanced_drop,DecisionTreeClassifier,0.88,0.9015282392026578
2884,balanced_drop,SVC,0.56,0.6605128205128206
2884,balanced_stretch,GradientBoostingClassifier,0.92,0.92
2884,balanced_stretch,DecisionTreeClassifier,0.96,0.9635555555555555
2884,balanced_stretch,SVC,0.92,0.8816666666666667
1971,base,GradientBoostingClassifier,0.84,0.8034782608695652
1971,base,DecisionTreeClassifier,0.76,0.76
1971,base,SVC,0.88,0.8238297872340425
1971,balanced_on,GradientBoostingClassifier,0.92,0.9017391304347826
1971,balanced_on,DecisionTreeClassifier,0.8,0.8119601328903654
1971,balanced_on,SVC,0.88,0.8238297872340425
1971,balanced_in,GradientBoostingClassifier,0.88,0.8238297872340425
1971,balanced_in,DecisionTreeClassifier,0.88,0.8693333333333332
1971,balanced_in,SVC,0.88,0.8238297872340425
1971,balanced_drop,GradientBoostingClassifier,0.84,0.8034782608695652
1971,balanced_drop,DecisionTreeClassifier,0.88,0.8693333333333332
1971,balanced_drop,SVC,0.84,0.8034782608695652
1971,balanced_stretch,GradientBoostingClassifier,0.88,0.8238297872340425
1971,balanced_stretch,DecisionTreeClassifier,0.84,0.8034782608695652
1971,balanced_stretch,SVC,0.88,0.8238297872340425
6939,base,GradientBoostingClassifier,0.88,0.8906666666666666
6939,base,DecisionTreeClassifier,0.84,0.8723809523809523
6939,base,SVC,0.92,0.8816666666666667
6939,balanced_on,GradientBoostingClassifier,0.88,0.8612765957446809
6939,balanced_on,DecisionTreeClassifier,0.8,0.8177777777777778
6939,balanced_on,SVC,0.92,0.8816666666666667
6939,balanced_in,GradientBoostingClassifier,0.92,0.8816666666666667
6939,balanced_in,DecisionTreeClassifier,0.88,0.8906666666666666
6939,balanced_in,SVC,0.92,0.8816666666666667
6939,balanced_drop,GradientBoostingClassifier,0.88,0.8612765957446809
6939,balanced_drop,DecisionTreeClassifier,0.8,0.8177777777777778
6939,balanced_drop,SVC,0.68,0.7447619047619048
6939,balanced_stretch,GradientBoostingClassifier,0.84,0.84
6939,balanced_stretch,DecisionTreeClassifier,0.92,0.92
6939,balanced_stretch,SVC,0.92,0.8816666666666667
9375,base,GradientBoostingClassifier,0.88,0.8906666666666666
9375,base,DecisionTreeClassifier,0.84,0.8630303030303029
9375,base,SVC,0.92,0.8816666666666667
9375,balanced_on,GradientBoostingClassifier,0.88,0.8906666666666666
9375,balanced_on,DecisionTreeClassifier,0.88,0.9015282392026578
9375,balanced_on,SVC,0.84,0.8630303030303029
9375,balanced_in,GradientBoostingClassifier,0.88,0.8906666666666666
9375,balanced_in,DecisionTreeClassifier,0.84,0.84
9375,balanced_in,SVC,0.92,0.8816666666666667
