seed,strategy,model,accuracy,f1_score
1415,base,GradientBoostingClassifier,0.9607843137254902,0.9607843137254902
1415,base,DecisionTreeClassifier,0.9019607843137256,0.9004022121669181
1415,base,SVC,0.7450980392156863,0.7228962463259572
1415,random_selected_on,GradientBoostingClassifier,0.9803921568627452,0.980125383486728
1415,random_selected_in,GradientBoostingClassifier,0.9803921568627452,0.980125383486728
1415,random_selected_on,DecisionTreeClassifier,0.9019607843137256,0.9016122578063483
1415,random_selected_in,DecisionTreeClassifier,0.9215686274509804,0.9218300653594772
1415,random_selected_on,SVC,0.4705882352941176,0.3011764705882352
1415,random_selected_in,SVC,0.8235294117647058,0.8197841374311963
1415,proportional_selected_on,GradientBoostingClassifier,0.9411764705882352,0.94213898743228
1415,proportional_selected_in,GradientBoostingClassifier,0.9607843137254902,0.9607843137254902
1415,proportional_selected_on,DecisionTreeClassifier,0.9019607843137256,0.9016122578063483
1415,proportional_selected_in,DecisionTreeClassifier,0.9215686274509804,0.9213172448466568
1415,proportional_selected_on,SVC,0.4705882352941176,0.3011764705882352
1415,proportional_selected_in,SVC,0.7450980392156863,0.7228962463259572
1415,fewest_selected_on,GradientBoostingClassifier,0.9803921568627452,0.980125383486728
1415,fewest_selected_in,GradientBoostingClassifier,0.9803921568627452,0.980125383486728
1415,fewest_selected_on,DecisionTreeClassifier,0.8235294117647058,0.8206245461147421
1415,fewest_selected_in,DecisionTreeClassifier,0.9215686274509804,0.921852612012547
1415,fewest_selected_on,SVC,0.5098039215686274,0.3791446563404662
1415,fewest_selected_in,SVC,0.8823529411764706,0.8824346714813247
1415,representative_selected_on,GradientBoostingClassifier,0.9607843137254902,0.95932069797616
1415,representative_selected_in,GradientBoostingClassifier,0.9803921568627452,0.980125383486728
1415,representative_selected_on,DecisionTreeClassifier,0.8823529411764706,0.8823529411764706
1415,representative_selected_in,DecisionTreeClassifier,0.9215686274509804,0.9213172448466568
1415,representative_selected_on,SVC,0.4705882352941176,0.3011764705882352
1415,representative_selected_in,SVC,0.7450980392156863,0.7228962463259572
1415,balanced_on_on,GradientBoostingClassifier,0.9607843137254902,0.9607843137254902
