seed,strategy,model,accuracy,f1_score
1415,base,GradientBoostingClassifier,0.875,0.8944444444444444
1415,base,DecisionTreeClassifier,0.875,0.8944444444444444
1415,base,SVC,0.9583333333333334,0.9379432624113476
1415,random_selected_on,GradientBoostingClassifier,0.8333333333333334,0.8712121212121211
1415,random_selected_in,GradientBoostingClassifier,0.7916666666666666,0.8468992248062017
1415,random_selected_on,DecisionTreeClassifier,0.7083333333333334,0.7955840455840456
1415,random_selected_in,DecisionTreeClassifier,0.7916666666666666,0.8468992248062017
1415,random_selected_on,SVC,0.9583333333333334,0.9379432624113476
1415,random_selected_in,SVC,0.9583333333333334,0.9379432624113476
1415,proportional_selected_on,GradientBoostingClassifier,0.7916666666666666,0.8468992248062017
1415,proportional_selected_in,GradientBoostingClassifier,0.75,0.8214285714285713
1415,proportional_selected_on,DecisionTreeClassifier,0.5,0.638888888888889
1415,proportional_selected_in,DecisionTreeClassifier,0.7083333333333334,0.7947154471544716
1415,proportional_selected_on,SVC,0.9583333333333334,0.9379432624113476
1415,proportional_selected_in,SVC,0.9583333333333334,0.9379432624113476
1415,fewest_selected_on,GradientBoostingClassifier,0.875,0.8944444444444444
1415,fewest_selected_in,GradientBoostingClassifier,0.9583333333333334,0.9379432624113476
1415,fewest_selected_on,DecisionTreeClassifier,0.7083333333333334,0.7947154471544716
1415,fewest_selected_in,DecisionTreeClassifier,0.75,0.8214285714285713
1415,fewest_selected_on,SVC,0.9583333333333334,0.9379432624113476
1415,fewest_selected_in,SVC,0.9583333333333334,0.9379432624113476
1415,representative_selected_on,GradientBoostingClassifier,0.7916666666666666,0.8468992248062017
1415,representative_selected_in,GradientBoostingClassifier,0.7916666666666666,0.8468992248062017
1415,representative_selected_on,DecisionTreeClassifier,0.7916666666666666,0.8468992248062017
1415,representative_selected_in,DecisionTreeClassifier,0.75,0.8214285714285713
1415,representative_selected_on,SVC,0.9583333333333334,0.9379432624113476
1415,representative_selected_in,SVC,0.9583333333333334,0.9379432624113476
1415,balanced_on_on,GradientBoostingClassifier,0.9166666666666666,0.9166666666666666
1415,balanced_on_in,GradientBoostingClassifier,0.9583333333333334,0.9379432624113476
1415,balanced_on_on,DecisionTreeClassifier,0.9166666666666666,0.9166666666666666
1415,balanced_on_in,DecisionTreeClassifier,0.7916666666666666,0.8533681765389084
1415,balanced_on_on,SVC,0.9166666666666666,0.9166666666666666
1415,balanced_on_in,SVC,0.9583333333333334,0.9379432624113476
1415,balanced_in_on,GradientBoostingClassifier,0.9166666666666666,0.9166666666666666
1415,balanced_in_in,GradientBoostingClassifier,0.9583333333333334,0.9379432624113476
1415,balanced_in_on,DecisionTreeClassifier,0.9166666666666666,0.9166666666666666
1415,balanced_in_in,DecisionTreeClassifier,0.7916666666666666,0.8533681765389084
1415,balanced_in_on,SVC,0.9166666666666666,0.9166666666666666
1415,balanced_in_in,SVC,0.9583333333333334,0.9379432624113476
9265,base,GradientBoostingClassifier,0.92,0.92
9265,base,DecisionTreeClassifier,0.92,0.92
9265,base,SVC,0.96,0.940408163265306
9265,random_selected_on,GradientBoostingClassifier,0.92,0.92
9265,random_selected_in,GradientBoostingClassifier,0.92,0.92
9265,random_selected_on,DecisionTreeClassifier,0.88,0.898723404255319
9265,random_selected_in,DecisionTreeClassifier,0.88,0.898723404255319
9265,random_selected_on,SVC,0.96,0.940408163265306
9265,random_selected_in,SVC,0.96,0.940408163265306
9265,proportional_selected_on,GradientBoostingClassifier,0.92,0.92
9265,proportional_selected_in,GradientBoostingClassifier,0.88,0.898723404255319
9265,proportional_selected_on,DecisionTreeClassifier,0.84,0.8765217391304347
9265,proportional_selected_in,DecisionTreeClassifier,0.84,0.8765217391304347
9265,proportional_selected_on,SVC,0.96,0.940408163265306
9265,proportional_selected_in,SVC,0.96,0.940408163265306
9265,fewest_selected_on,GradientBoostingClassifier,0.88,0.898723404255319
9265,fewest_selected_in,GradientBoostingClassifier,0.92,0.92
9265,fewest_selected_on,DecisionTreeClassifier,0.88,0.898723404255319
9265,fewest_selected_in,DecisionTreeClassifier,0.84,0.8765217391304347
9265,fewest_selected_on,SVC,0.96,0.940408163265306
9265,fewest_selected_in,SVC,0.96,0.940408163265306
9265,representative_selected_on,GradientBoostingClassifier,0.92,0.92
9265,representative_selected_in,GradientBoostingClassifier,0.92,0.92
9265,representative_selected_on,DecisionTreeClassifier,0.88,0.898723404255319
9265,representative_selected_in,DecisionTreeClassifier,0.84,0.8765217391304347
9265,representative_selected_on,SVC,0.96,0.940408163265306
9265,representative_selected_in,SVC,0.96,0.940408163265306
9265,balanced_on_on,GradientBoostingClassifier,0.96,0.940408163265306
9265,balanced_on_in,GradientBoostingClassifier,1.0,1.0
9265,balanced_on_on,DecisionTreeClassifier,0.84,0.8765217391304347
9265,balanced_on_in,DecisionTreeClassifier,0.88,0.898723404255319
9265,balanced_on_on,SVC,0.96,0.940408163265306
9265,balanced_on_in,SVC,0.96,0.940408163265306
9265,balanced_in_on,GradientBoostingClassifier,0.96,0.940408163265306
9265,balanced_in_in,GradientBoostingClassifier,1.0,1.0
9265,balanced_in_on,DecisionTreeClassifier,0.84,0.8765217391304347
9265,balanced_in_in,DecisionTreeClassifier,0.88,0.898723404255319
9265,balanced_in_on,SVC,0.96,0.940408163265306
9265,balanced_in_in,SVC,0.96,0.940408163265306
3589,base,GradientBoostingClassifier,0.92,0.92
3589,base,DecisionTreeClassifier,0.84,0.8765217391304347
3589,base,SVC,0.96,0.940408163265306
3589,random_selected_on,GradientBoostingClassifier,0.96,0.940408163265306
3589,random_selected_in,GradientBoostingClassifier,0.96,0.940408163265306
3589,random_selected_on,DecisionTreeClassifier,0.92,0.92
3589,random_selected_in,DecisionTreeClassifier,0.84,0.8765217391304347
3589,random_selected_on,SVC,0.96,0.940408163265306
3589,random_selected_in,SVC,0.96,0.940408163265306
3589,proportional_selected_on,GradientBoostingClassifier,0.96,0.940408163265306
3589,proportional_selected_in,GradientBoostingClassifier,0.96,0.940408163265306
3589,proportional_selected_on,DecisionTreeClassifier,0.92,0.92
3589,proportional_selected_in,DecisionTreeClassifier,0.88,0.898723404255319
3589,proportional_selected_on,SVC,0.96,0.940408163265306
3589,proportional_selected_in,SVC,0.96,0.940408163265306
3589,fewest_selected_on,GradientBoostingClassifier,0.96,0.940408163265306
3589,fewest_selected_in,GradientBoostingClassifier,0.96,0.940408163265306
3589,fewest_selected_on,DecisionTreeClassifier,0.8,0.8533333333333334
3589,fewest_selected_in,DecisionTreeClassifier,0.8,0.8533333333333334
3589,fewest_selected_on,SVC,0.96,0.940408163265306
3589,fewest_selected_in,SVC,0.96,0.940408163265306
3589,representative_selected_on,GradientBoostingClassifier,0.92,0.92
3589,representative_selected_in,GradientBoostingClassifier,0.96,0.940408163265306
3589,representative_selected_on,DecisionTreeClassifier,0.96,0.940408163265306
3589,representative_selected_in,DecisionTreeClassifier,0.92,0.92
3589,representative_selected_on,SVC,0.96,0.940408163265306
3589,representative_selected_in,SVC,0.96,0.940408163265306
3589,balanced_on_on,GradientBoostingClassifier,0.96,0.940408163265306
3589,balanced_on_in,GradientBoostingClassifier,0.92,0.92
3589,balanced_on_on,DecisionTreeClassifier,0.88,0.898723404255319
3589,balanced_on_in,DecisionTreeClassifier,0.84,0.8765217391304347
3589,balanced_on_on,SVC,0.88,0.898723404255319
3589,balanced_on_in,SVC,0.96,0.940408163265306
3589,balanced_in_on,GradientBoostingClassifier,0.96,0.940408163265306
3589,balanced_in_in,GradientBoostingClassifier,0.92,0.92
3589,balanced_in_on,DecisionTreeClassifier,0.88,0.898723404255319
3589,balanced_in_in,DecisionTreeClassifier,0.84,0.8765217391304347
3589,balanced_in_on,SVC,0.88,0.898723404255319
3589,balanced_in_in,SVC,0.96,0.940408163265306
7932,base,GradientBoostingClassifier,0.76,0.7254545454545455
7932,base,DecisionTreeClassifier,0.8,0.8086720867208672
7932,base,SVC,0.84,0.7669565217391304
7932,random_selected_on,GradientBoostingClassifier,0.76,0.7254545454545455
7932,random_selected_in,GradientBoostingClassifier,0.84,0.8169696969696968
7932,random_selected_on,DecisionTreeClassifier,0.72,0.7032558139534884
7932,random_selected_in,DecisionTreeClassifier,0.8,0.7466666666666667
7932,random_selected_on,SVC,0.84,0.7669565217391304
7932,random_selected_in,SVC,0.84,0.7669565217391304
7932,proportional_selected_on,GradientBoostingClassifier,0.76,0.7254545454545455
7932,proportional_selected_in,GradientBoostingClassifier,0.84,0.8169696969696968
7932,proportional_selected_on,DecisionTreeClassifier,0.72,0.7474125874125873
7932,proportional_selected_in,DecisionTreeClassifier,0.72,0.7032558139534884
7932,proportional_selected_on,SVC,0.84,0.7669565217391304
7932,proportional_selected_in,SVC,0.84,0.7669565217391304
7932,fewest_selected_on,GradientBoostingClassifier,0.8,0.7466666666666667
7932,fewest_selected_in,GradientBoostingClassifier,0.84,0.7669565217391304
7932,fewest_selected_on,DecisionTreeClassifier,0.8,0.7880398671096346
7932,fewest_selected_in,DecisionTreeClassifier,0.8,0.7880398671096346
7932,fewest_selected_on,SVC,0.84,0.7669565217391304
7932,fewest_selected_in,SVC,0.84,0.7669565217391304
7932,representative_selected_on,GradientBoostingClassifier,0.8,0.7466666666666667
7932,representative_selected_in,GradientBoostingClassifier,0.76,0.7254545454545455
7932,representative_selected_on,DecisionTreeClassifier,0.76,0.7254545454545455
7932,representative_selected_in,DecisionTreeClassifier,0.84,0.7669565217391304
7932,representative_selected_on,SVC,0.84,0.7669565217391304
7932,representative_selected_in,SVC,0.84,0.7669565217391304
7932,balanced_on_on,GradientBoostingClassifier,0.8,0.7466666666666667
7932,balanced_on_in,GradientBoostingClassifier,0.8,0.7466666666666667
7932,balanced_on_on,DecisionTreeClassifier,0.72,0.7032558139534884
7932,balanced_on_in,DecisionTreeClassifier,0.84,0.7669565217391304
7932,balanced_on_on,SVC,0.88,0.8480000000000001
7932,balanced_on_in,SVC,0.84,0.7669565217391304
7932,balanced_in_on,GradientBoostingClassifier,0.8,0.7466666666666667
7932,balanced_in_in,GradientBoostingClassifier,0.8,0.7466666666666667
7932,balanced_in_on,DecisionTreeClassifier,0.72,0.7032558139534884
7932,balanced_in_in,DecisionTreeClassifier,0.84,0.7669565217391304
7932,balanced_in_on,SVC,0.88,0.8480000000000001
7932,balanced_in_in,SVC,0.84,0.7669565217391304
3846,base,GradientBoostingClassifier,0.92,0.9084848484848485
3846,base,DecisionTreeClassifier,0.8,0.8086720867208672
3846,base,SVC,0.84,0.7669565217391304
3846,random_selected_on,GradientBoostingClassifier,0.92,0.9084848484848485
3846,random_selected_in,GradientBoostingClassifier,0.88,0.8728239202657807
3846,random_selected_on,DecisionTreeClassifier,0.88,0.8728239202657807
3846,random_selected_in,DecisionTreeClassifier,0.88,0.8480000000000001
